City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
7,Malanje,AO,79.83,broken clouds,-9.5402,16.341,Hotel Ginga
8,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
12,Faanui,PF,80.42,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Micheweni,TZ,77.59,broken clouds,-4.9667,39.8333,
23,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
24,Atuona,PF,78.4,overcast clouds,-9.8,-139.0333,Villa Enata
32,Trinidad,BO,82.38,clear sky,-14.8333,-64.9,Hotel Piesta
35,Trenggalek,ID,75.7,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
40,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
41,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
42,Great Yarmouth,GB,79.41,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
43,Wageningen,NL,79.95,scattered clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
45,Trairi,BR,85.32,scattered clouds,-3.2778,-39.2689,janelas do mar
48,Buta,CD,75.72,light rain,2.7858,24.73,HOTEL BISO NA BISO
52,Salinopolis,BR,85.5,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
54,Manadhoo,MV,83.05,overcast clouds,5.7667,73.3833,Bon Abri maldives
55,Praya,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
59,Meulaboh,ID,78.3,overcast clouds,4.1363,96.1285,Kost Pria
61,Muros,ES,84.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
62,Shahr-E Kord,IR,87.57,clear sky,32.3256,50.8644,Shahrekord Tourist Hotel
64,Ormara,PK,82.85,clear sky,25.2088,64.6357,Kenara Colony House for Rent
65,Ahome,MX,82.35,clear sky,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
68,Ahuimanu,US,75.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
71,Puerto Madero,MX,77.2,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
74,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Pozo Colorado,PY,86.36,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
81,Cururupu,BR,88.88,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
83,Mangrol,IN,85.42,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
86,Jamestown,US,87.39,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
87,Teknaf,BD,77.09,overcast clouds,20.8624,92.3058,Forestry Guesthouse
88,Waingapu,ID,76.89,few clouds,-9.6567,120.2641,Pondok Wisata Elim
91,Avera,US,87.85,few clouds,33.194,-82.5271,
94,Conde,BR,83.66,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
97,Dingle,PH,78.64,few clouds,10.9995,122.6711,SEGAYA PROPERTY
99,Alanya,TR,80.73,clear sky,36.5438,31.9998,Panorama Hotel
100,Honiara,SB,76.05,overcast clouds,-9.4333,159.95,Heritage Park Hotel
102,Ponta Do Sol,PT,77.72,scattered clouds,32.6667,-17.1,Hotel do Campo
111,Key West,US,89.6,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
112,Buala,SB,78.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
113,Nioki,CD,86.67,overcast clouds,-2.7167,17.6833,
115,Bandarbeyla,SO,77.47,overcast clouds,9.4942,50.8122,JABIR HOTEL
116,Kilifi,KE,77.0,scattered clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
118,Catabola,AO,79.29,scattered clouds,-12.15,17.2833,Residencial Princesa
123,Les Cayes,HT,87.76,overcast clouds,18.2,-73.75,Villa Orphee
124,Cabo San Lucas,MX,89.91,scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
126,Amahai,ID,77.0,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
127,Mao,ES,88.36,clear sky,39.8885,4.2658,ARTIEM Capri
135,Kearney,US,77.58,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
