City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,73.36,95,65,7.0,broken clouds
1,Norman Wells,CA,65.282,-126.8329,53.64,58,20,10.36,few clouds
2,Yulara,AU,-25.2406,130.9889,62.08,38,86,5.84,overcast clouds
3,Khani,GE,41.9563,42.9566,65.77,88,96,0.98,overcast clouds
4,Barrow,US,71.2906,-156.7887,35.62,87,0,10.36,clear sky
5,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,57,0,14.97,clear sky
6,Hasaki,JP,35.7333,140.8333,72.0,86,100,13.71,overcast clouds
7,Malanje,AO,-9.5402,16.341,79.83,24,82,2.44,broken clouds
8,Georgetown,MY,5.4112,100.3354,84.13,86,40,4.61,scattered clouds
9,Jiutai,CN,44.1525,125.8328,66.54,93,86,7.94,overcast clouds
10,Kushiro,JP,42.975,144.3747,56.28,97,67,9.15,broken clouds
11,New Norfolk,AU,-42.7826,147.0587,43.72,89,36,2.64,scattered clouds
12,Faanui,PF,-16.4833,-151.75,80.42,69,8,17.0,clear sky
13,Huilong,CN,31.8111,121.655,73.4,86,48,10.63,scattered clouds
14,Saldanha,ZA,-33.0117,17.9442,66.25,45,99,14.12,overcast clouds
15,Micheweni,TZ,-4.9667,39.8333,77.59,80,79,8.84,broken clouds
16,Richards Bay,ZA,-28.783,32.0377,57.72,65,2,6.71,clear sky
17,Changtu,CN,42.7788,124.0955,63.64,92,100,7.67,light rain
18,Constitucion,CL,-35.3333,-72.4167,55.24,70,3,5.44,clear sky
19,Sorland,NO,67.667,12.6934,48.06,78,45,3.02,scattered clouds
20,Saskylakh,RU,71.9167,114.0833,51.1,52,58,12.53,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,39.22,81,40,17.27,scattered clouds
22,Ketchikan,US,55.3422,-131.6461,61.27,59,0,13.8,clear sky
23,Limbang,MY,4.75,115.0,78.91,97,100,2.33,overcast clouds
24,Atuona,PF,-9.8,-139.0333,78.4,64,87,20.09,overcast clouds
25,Lenine,UA,45.2986,35.7771,73.69,33,23,4.23,few clouds
26,Hobart,AU,-42.8794,147.3294,44.06,94,23,3.44,few clouds
27,Rikitea,PF,-23.1203,-134.9692,72.39,67,44,7.29,scattered clouds
28,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,40,11.5,scattered clouds
29,Mataura,NZ,-46.1927,168.8643,38.48,94,92,1.66,overcast clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,53.1,78,100,5.75,overcast clouds
31,Albany,US,42.6001,-73.9662,72.18,62,100,10.69,overcast clouds
