City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Marsh Harbour,BS,2022-06-16 10:36:42,26.5412,-77.0636,79.41,76,44,0.76
1,Ushuaia,AR,2022-06-16 10:36:42,-54.8,-68.3,38.86,87,75,14.97
2,Nuqui,CO,2022-06-16 10:36:42,5.7125,-77.2708,75.61,88,91,2.75
3,Namatanai,PG,2022-06-16 10:36:42,-3.6667,152.4333,79.45,81,97,8.43
4,San Cristobal,VE,2022-06-16 10:31:49,7.7669,-72.225,66.38,92,56,3.58
5,Jaciara,BR,2022-06-16 10:36:42,-15.9653,-54.9683,69.69,68,0,1.68
6,Bambous Virieux,MU,2022-06-16 10:36:42,-20.3428,57.7575,78.22,73,40,17.27
7,Ilulissat,GL,2022-06-16 10:36:43,69.2167,-51.1,44.62,49,20,5.75
8,Carnarvon,AU,2022-06-16 10:32:48,-24.8667,113.6333,72.05,80,100,8.37
9,Lavrentiya,RU,2022-06-16 10:36:43,65.5833,-171.0,39.49,97,100,17.2
10,Ixtapa,MX,2022-06-16 10:32:45,20.7,-105.2,76.23,100,100,3.44
11,Sorland,NO,2022-06-16 10:36:43,67.667,12.6934,48.06,77,7,1.54
12,Nikolskoye,RU,2022-06-16 10:36:43,59.7035,30.7861,62.87,47,32,14.23
13,Hilo,US,2022-06-16 10:32:22,19.7297,-155.09,73.62,74,40,6.91
14,Pevek,RU,2022-06-16 10:36:43,69.7008,170.3133,30.07,85,8,7.45
15,Clyde River,CA,2022-06-16 10:36:43,70.4692,-68.5914,28.63,100,100,31.07
16,Tautira,PF,2022-06-16 10:36:44,-17.7333,-149.15,78.98,77,49,18.77
17,Rikitea,PF,2022-06-16 10:36:44,-23.1203,-134.9692,72.61,68,77,7.11
18,Saskylakh,RU,2022-06-16 10:36:44,71.9167,114.0833,60.37,27,36,7.07
19,Markala,ML,2022-06-16 10:36:44,13.7021,-6.0659,95.94,32,100,7.47
20,Calbuco,CL,2022-06-16 10:36:44,-41.768,-73.1273,42.01,83,99,7.61
21,Snezhnogorsk,RU,2022-06-16 10:34:03,69.1933,33.2531,42.58,91,100,25.08
22,Beringovskiy,RU,2022-06-16 10:36:44,63.05,179.3167,41.56,83,68,10.89
23,Lebu,CL,2022-06-16 10:32:55,-37.6167,-73.65,46.27,89,3,4.63
24,Mayo,US,2022-06-16 10:36:45,38.8876,-76.5119,75.31,81,100,11.5
25,Cuamba,MZ,2022-06-16 10:36:45,-14.8031,36.5372,87.19,27,19,2.39
26,Sitio Novo Do Tocantins,BR,2022-06-16 10:36:45,-5.5183,-47.4611,71.53,88,0,2.3
27,Arraial Do Cabo,BR,2022-06-16 10:32:28,-22.9661,-42.0278,57.06,94,0,4.61
28,Upernavik,GL,2022-06-16 10:36:45,72.7868,-56.1549,33.22,67,100,1.92
29,East London,ZA,2022-06-16 10:32:08,-33.0153,27.9116,61.74,44,0,17.27
30,Vieques,PR,2022-06-16 10:36:46,18.425,-65.8329,80.1,89,75,0.0
31,Talen,IN,2022-06-16 10:36:46,23.5667,76.7167,93.34,41,90,10.92
32,Fortuna,US,2022-06-16 10:36:46,40.5982,-124.1573,55.65,87,100,1.39
33,Nome,US,2022-06-16 10:36:47,64.5011,-165.4064,42.87,81,100,4.61
34,Qaanaaq,GL,2022-06-16 10:36:47,77.484,-69.3632,29.19,68,47,3.96
35,Klaksvik,FO,2022-06-16 10:36:47,62.2266,-6.589,54.52,85,100,3.44
36,Punta Arenas,CL,2022-06-16 10:33:03,-53.15,-70.9167,42.91,81,100,14.97
37,Winslow,US,2022-06-16 10:36:47,35.0242,-110.6974,60.98,17,0,3.44
38,Parrita,CR,2022-06-16 10:36:47,9.5201,-84.3225,75.07,85,98,2.21
39,Vaini,TO,2022-06-16 10:36:47,-21.2,-175.2,73.56,83,20,6.91
40,Jamestown,US,2022-06-16 10:36:47,42.097,-79.2353,78.39,93,34,1.01
41,Touros,BR,2022-06-16 10:36:48,-5.1989,-35.4608,80.24,62,4,10.8
42,Gondar,ET,2022-06-16 10:36:48,12.6,37.4667,78.51,29,58,7.4
43,Ribeira Grande,PT,2022-06-16 10:33:10,38.5167,-28.7,70.2,78,40,14.97
44,Wufeng,CN,2022-06-16 10:36:48,27.45,104.8333,59.88,86,100,1.32
45,Yellowknife,CA,2022-06-16 10:36:48,62.456,-114.3525,52.32,76,100,6.91
46,Hami,CN,2022-06-16 10:36:48,42.8,93.45,101.37,10,66,11.45
47,Hermanus,ZA,2022-06-16 10:37:48,-34.4187,19.2345,59.81,48,82,7.31
48,Bethel,US,2022-06-16 10:37:49,41.3712,-73.414,64.76,88,75,1.99
49,Cape Town,ZA,2022-06-16 10:37:49,-33.9258,18.4232,64.27,46,0,3.0
50,Kodiak,US,2022-06-16 10:37:49,57.79,-152.4072,42.31,87,0,4.61
51,Mataura,NZ,2022-06-16 10:37:49,-46.1927,168.8643,42.48,92,95,2.35
52,Porto Santo,PT,2022-06-16 10:37:49,33.072,-16.3415,70.18,64,20,11.5
53,Bundaberg,AU,2022-06-16 10:36:15,-24.85,152.35,60.22,97,12,2.55
54,Provideniya,RU,2022-06-16 10:37:50,64.3833,-173.3,40.33,98,100,13.69
55,Necochea,AR,2022-06-16 10:37:50,-38.5473,-58.7368,46.0,94,22,7.52
56,Tuktoyaktuk,CA,2022-06-16 10:37:50,69.4541,-133.0374,36.36,74,0,12.82
57,Naze,JP,2022-06-16 10:37:50,28.3667,129.4833,74.32,89,100,7.78
58,Castro,BR,2022-06-16 10:37:50,-24.7911,-50.0119,52.61,81,0,1.79
59,Tasiilaq,GL,2022-06-16 10:37:50,65.6145,-37.6368,39.36,95,100,5.35
60,New Norfolk,AU,2022-06-16 10:33:11,-42.7826,147.0587,46.71,91,8,2.28
61,Bredasdorp,ZA,2022-06-16 10:37:50,-34.5322,20.0403,58.57,45,74,8.75
62,Iaciara,BR,2022-06-16 10:37:51,-14.0958,-46.6317,69.53,51,0,3.4
